threshold,accuracy,precision,recall,f1,auc,specificity,fpr,tn,fp,fn,tp
0.13,0.8352407135093665,0.4030800560010182,0.8722115119801708,0.5513579387186629,0.9269969473643835,0.8303858811616216,0.16961411883837835,22961,4690,464,3167
0.14,0.8407071159133048,0.41156462585034015,0.8664279812723767,0.5580487804878049,0.9269969473643835,0.8373295721673719,0.1626704278326281,23153,4498,485,3146
0.15,0.8459177801930823,0.42004034969737725,0.8600936381162214,0.5644315922645943,0.9269969473643835,0.8440562728291925,0.15594372717080757,23339,4312,508,3123
0.16,0.8515440189246212,0.4299543631586226,0.8562379509776921,0.5724544282820844,0.9269969473643835,0.8509276337202994,0.14907236627970055,23529,4122,522,3109
0.17,0.8548686145387123,0.4358865848497672,0.8510052327182595,0.5764925373134329,0.9269969473643835,0.8553759357708582,0.1446240642291418,23652,3999,541,3090
0.18,0.8621251838117767,0.44991186839012925,0.8435692646653814,0.5868378197145321,0.9269969473643835,0.8645618603305486,0.13543813966945137,23906,3745,568,3063
0.19,0.8640112524774631,0.4537353334323481,0.8413660148719361,0.5895407178695484,0.9269969473643835,0.8669849191710969,0.13301508082890312,23973,3678,576,3055
0.2,0.8679112588709161,0.4620281946339245,0.8394381713026714,0.5960109503324208,0.9269969473643835,0.8716502115655853,0.12834978843441466,24102,3549,583,3048
0.21,0.8707883127677258,0.46831148804934464,0.8364087028366841,0.6004349545274812,0.9269969473643835,0.8753028823550685,0.12469711764493147,24203,3448,594,3037
0.22,0.8762227479061441,0.4807600191601469,0.8292481410079868,0.6086517081059227,0.9269969473643835,0.8823912335901053,0.11760876640989476,24399,3252,620,3011
0.23,0.8776293075890288,0.48411034037748024,0.8264940787661801,0.6105798575788403,0.9269969473643835,0.8843441466854725,0.1156558533145275,24453,3198,630,3001
0.24,0.8802506233616776,0.49054431836868934,0.8215367667309281,0.6142915980230642,0.9269969473643835,0.8879606524176341,0.11203934758236592,24553,3098,648,2983
0.25,0.881561281248002,0.49384973404255317,0.8182318920407601,0.6159427801389032,0.9269969473643835,0.8898774004556798,0.11012259954432027,24606,3045,660,2971
0.26,0.8847899750655329,0.5023017902813299,0.8113467364362434,0.6204717775905645,0.9269969473643835,0.8944341976782033,0.10556580232179669,24732,2919,685,2946
0.27,0.8862285020139378,0.5062326869806094,0.8052877995042688,0.6216647177633677,0.9269969473643835,0.8968572565187516,0.10314274348124841,24799,2852,707,2924
0.28,0.8879227670865034,0.5109822526796697,0.8008812999173781,0.6239004505470929,0.9269969473643835,0.8993526454739431,0.10064735452605693,24868,2783,723,2908
0.29,0.8902883447349914,0.5178603482319153,0.7945469567612228,0.6270376005216257,0.9269969473643835,0.9028606560341398,0.09713934396586019,24965,2686,746,2885
0.3,0.8920465443385973,0.5230825154489277,0.7926191131919581,0.6302419796342932,0.9269969473643835,0.90510288958808,0.09489711041192,25027,2624,753,2878
0.31,0.893133431366281,0.5264026402640264,0.7906912696226934,0.6320308200330215,0.9269969473643835,0.9065856569382662,0.09341434306173375,25068,2583,760,2871
0.32,0.896138354325171,0.5359292701279157,0.7846323326907189,0.6368615178272047,0.9269969473643835,0.9107808035875737,0.08921919641242632,25184,2467,782,2849
0.33,0.8963940924493319,0.5369178341537296,0.7810520517763702,0.6363738359699316,0.9269969473643835,0.9115402697913276,0.08845973020867239,25205,2446,795,2836
0.34,0.8983440956460584,0.5434071222329163,0.7774717708620215,0.6397008837525493,0.9269969473643835,0.9142164840331272,0.08578351596687281,25279,2372,808,2823
0.35,0.8998465571255034,0.5486138227254979,0.7738914899476729,0.6420655775162801,0.9269969473643835,0.9163863874724242,0.08361361252757586,25339,2312,821,2810
0.36,0.9011252477463078,0.5532251681836169,0.7700358028091435,0.6438687392055268,0.9269969473643835,0.9183393005677915,0.0816606994322086,25393,2258,835,2796
0.37,0.9018604948532702,0.5558208955223881,0.7692095841366015,0.6453327171903882,0.9269969473643835,0.9192795920581535,0.0807204079418466,25419,2232,838,2793
0.38,0.9050252541397609,0.5674295055169596,0.7648030845497108,0.6514956011730205,0.9269969473643835,0.9234385736501393,0.07656142634986077,25534,2117,854,2777
0.39,0.905376894060482,0.5687922903424236,0.7639768658771688,0.6520921485660555,0.9269969473643835,0.9239448844526419,0.07605511554735814,25548,2103,857,2774
0.4,0.9066875519468065,0.573828287017835,0.7620490223079042,0.6546788122560038,0.9269969473643835,0.9256808072040794,0.07431919279592059,25596,2055,864,2767
0.41,0.9085416533469727,0.5814297800338409,0.7570917102726522,0.6577341787295131,0.9269969473643835,0.9284293515605222,0.07157064843947777,25672,1979,882,2749
0.42,0.909244933188415,0.5843630166169578,0.7554392729275682,0.658978978978979,0.9269969473643835,0.9294419731655275,0.07055802683447253,25700,1951,888,2743
0.43,0.91071542740234,0.5903796376186368,0.7537868355824842,0.6621507197290432,0.9269969473643835,0.9313225561462515,0.06867744385374851,25752,1899,894,2737
0.44,0.9119301834921041,0.5966034406704896,0.7449738364087028,0.6625842008573178,0.9269969473643835,0.9338541101587646,0.0661458898412354,25822,1829,926,2705
0.45,0.912793299661147,0.6005344021376086,0.7427705866152575,0.6641221374045801,0.9269969473643835,0.9351198871650211,0.06488011283497884,25857,1794,934,2697
0.46,0.9134006777060291,0.6032243618450515,0.7419443679427155,0.6654316413486476,0.9269969473643835,0.9359155184260967,0.0640844815739033,25879,1772,937,2694
0.47,0.9161178952752381,0.6155611659398669,0.7386394932525475,0.671507260891337,0.9269969473643835,0.9394235289862934,0.060576471013706557,25976,1675,949,2682
0.48,0.9171408477718815,0.6203381978225619,0.7375378683558248,0.6738802214393558,0.9269969473643835,0.9407254710498716,0.059274528950128386,26012,1639,953,2678
0.49,0.9171408477718815,0.6203381978225619,0.7375378683558248,0.6738802214393558,0.9269969473643835,0.9407254710498716,0.059274528950128386,26012,1639,953,2678
0.5,0.9171408477718815,0.6203381978225619,0.7375378683558248,0.6738802214393558,0.9269969473643835,0.9407254710498716,0.059274528950128386,26012,1639,953,2678
0.51,0.9192506872962087,0.6328444337581149,0.7248691820435141,0.6757381258023106,0.9269969473643835,0.9447759574698926,0.05522404253010741,26124,1527,999,2632
0.52,0.9192506872962087,0.6328444337581149,0.7248691820435141,0.6757381258023106,0.9269969473643835,0.9447759574698926,0.05522404253010741,26124,1527,999,2632
0.53,0.9203056070583723,0.6385776911836337,0.7221151198017075,0.6777820860798759,0.9269969473643835,0.946331054934722,0.05366894506527793,26167,1484,1009,2622
0.54,0.9224474138482194,0.6508890558477335,0.7157807766455522,0.6817943336831059,0.9269969473643835,0.9495859100936676,0.050414089906332504,26257,1394,1032,2599
0.55,0.9225752829102999,0.6519989942167463,0.7141283393004682,0.6816508937960042,0.9269969473643835,0.9499475606668837,0.050052439333116344,26267,1384,1038,2593
0.56,0.9232465954862221,0.6559330628803245,0.7124759019553842,0.683036303630363,0.9269969473643835,0.9509240172145673,0.049075982785432716,26294,1357,1044,2587
0.57,0.9249408605587878,0.6657194523378972,0.7097218397135775,0.6870167955211943,0.9269969473643835,0.9532024158258291,0.04679758417417092,26357,1294,1054,2577
0.58,0.9257400421967905,0.6705790297339593,0.7080694023684936,0.6888144675150704,0.9269969473643835,0.9543235326027992,0.045676467397200826,26388,1263,1060,2571
0.59,0.9259957803209513,0.6724318658280922,0.7066923712475902,0.6891365650597556,0.9269969473643835,0.9547936783479802,0.04520632165201982,26401,1250,1065,2566
0.6,0.9266670928968737,0.6774621714892487,0.7028366841090609,0.6899161935658286,0.9269969473643835,0.9560594553542368,0.04394054464576326,26436,1215,1079,2552
0.61,0.9270507000831149,0.6815612382234185,0.6973285596254475,0.6893547508848353,0.9269969473643835,0.9572167371885284,0.04278326281147156,26468,1183,1099,2532
0.62,0.9273384054727959,0.6833153347732182,0.6970531534012668,0.6901158827539196,0.9269969473643835,0.9575783877617446,0.0424216122382554,26478,1173,1100,2531
0.63,0.9283933252349594,0.6929264909847435,0.6879647480033049,0.6904367053620785,0.9269969473643835,0.9599652815449713,0.040034718455028755,26544,1107,1133,2498
0.64,0.9290326705453615,0.6974531206269241,0.6863123106582208,0.6918378678511938,0.9269969473643835,0.9609055730353333,0.03909442696466674,26570,1081,1139,2492
0.65,0.9295761140592034,0.7022662889518414,0.6827320297438723,0.6923614020388213,0.9269969473643835,0.9619905247549817,0.038009475245018264,26600,1051,1152,2479
0.66,0.9297359503868039,0.705359701920321,0.6777747177086202,0.6912921348314607,0.9269969473643835,0.962822321073379,0.0371776789266211,26623,1028,1170,2461
0.67,0.9307908701489674,0.7148300117233294,0.6717157807766455,0.6926025841260827,0.9269969473643835,0.9648113992260677,0.035188600773932224,26678,973,1192,2439
0.68,0.9307269356179273,0.7163120567375887,0.6675846874139355,0.6910905203136137,0.9269969473643835,0.9652815449712487,0.03471845502875122,26691,960,1207,2424
0.69,0.9319736589732114,0.7269707037148898,0.6629027816028642,0.6934600979544799,0.9269969473643835,0.9673067881812593,0.032693211818740735,26747,904,1224,2407
0.7,0.9320375935042516,0.7289321569820505,0.6598733131368769,0.6926857473258167,0.9269969473643835,0.9677769339264403,0.03222306607355973,26760,891,1235,2396
0.71,0.9322933316284125,0.7328408741151123,0.6557422197741669,0.6921511627906977,0.9269969473643835,0.9686087302448374,0.031391269755162564,26783,868,1250,2381
0.72,0.932421200690493,0.7371053454204439,0.6494078766180116,0.6904831625183017,0.9269969473643835,0.969585186792521,0.030414813207478932,26810,841,1273,2358
0.73,0.9323252988939326,0.7391029690461149,0.6444505645827596,0.6885390613505958,0.9269969473643835,0.9701276626523453,0.029872337347654696,26825,826,1291,2340
0.74,0.9330925132664152,0.7466324567030147,0.6411456898925916,0.6898799822195881,0.9269969473643835,0.9714296047159234,0.028570395284076525,26861,790,1303,2328
0.75,0.9334441531871364,0.7512163477132663,0.6378408152024235,0.6899016979445934,0.9269969473643835,0.9722614010343207,0.02773859896567936,26884,767,1315,2316
0.76,0.9343072693561792,0.7611000662690524,0.6326080969429909,0.6909309670627162,0.9269969473643835,0.973924993671115,0.02607500632888503,26930,721,1334,2297
0.77,0.9347228438079407,0.7675985180195352,0.627650784907739,0.6906060606060606,0.9269969473643835,0.9750461104480851,0.02495388955191494,26961,690,1352,2279
0.78,0.9350425164631417,0.7720313031643417,0.6248967226659322,0.6907153729071537,0.9269969473643835,0.9757694115945174,0.024230588405482624,26981,670,1362,2269
0.79,0.9352982545873026,0.7779315115876859,0.619388598182319,0.6896657467034651,0.9269969473643835,0.9767820331995226,0.02321796680047738,27009,642,1382,2249
0.8,0.935106450994182,0.7799930045470445,0.6141558799228862,0.687211093990755,0.9269969473643835,0.9772521789447036,0.022747821055296373,27022,629,1401,2230
0.81,0.9352982545873026,0.7864527629233512,0.6075461305425502,0.6855189558732132,0.9269969473643835,0.9783371306643521,0.021662869335647896,27052,599,1425,2206
0.82,0.9349785819321015,0.7881631180079394,0.6014871936105756,0.6822867853795689,0.9269969473643835,0.9787711113522115,0.021228888647788508,27064,587,1447,2184
0.83,0.9352982545873026,0.7972623011468738,0.5935004131093363,0.6804546889801073,0.9269969473643835,0.9801815485877545,0.01981845141224549,27103,548,1476,2155
0.84,0.935426123649383,0.8013468013468014,0.5899201321949876,0.6795685279187818,0.9269969473643835,0.980796354562222,0.01920364543777802,27120,531,1489,2142
0.85,0.9351703855252221,0.8057993132392217,0.5816579454695676,0.6756238003838771,0.9269969473643835,0.9815919858232975,0.01840801417670247,27142,509,1519,2112
0.86,0.9350425164631417,0.810244470314319,0.5750481960892316,0.6726804123711341,0.9269969473643835,0.9823152869697298,0.017684713030270152,27162,489,1543,2088
0.87,0.9352343200562624,0.8198485452371462,0.566510603139631,0.6700325732899023,0.9269969473643835,0.9836533940906297,0.016346605909370367,27199,452,1574,2057
0.88,0.9345630074803402,0.823265306122449,0.5554943541724043,0.6633777339253413,0.9269969473643835,0.9843405301797403,0.015659469820259665,27218,433,1614,2017
0.89,0.9344031711527396,0.8255670103092784,0.5513632608096943,0.6611624834874504,0.9269969473643835,0.9847021807529565,0.015297819247043506,27228,423,1629,2002
0.9,0.9343072693561792,0.8367521367521368,0.539245386945745,0.6558365432925808,0.9269969473643835,0.9861849481031427,0.013815051896857257,27269,382,1673,1958
0.91,0.9342753020906591,0.8428384849804093,0.5331864500137703,0.6531713900134952,0.9269969473643835,0.9869444143068967,0.013055585693103323,27290,361,1695,1936
0.92,0.9337957931078575,0.8535811423390752,0.518589920132195,0.6451944492033579,0.9269969473643835,0.9883186864851181,0.01168131351488192,27328,323,1748,1883
0.93,0.933060546000895,0.8623290900518623,0.503717984026439,0.635952712100139,0.9269969473643835,0.9894398032620881,0.01056019673791183,27359,292,1802,1829
0.94,0.932165462566332,0.8682284040995608,0.4899476728174057,0.6264084507042254,0.9269969473643835,0.9902354345231638,0.009764565476836282,27381,270,1852,1779
0.95,0.9297039831212838,0.874869109947644,0.4602038006058937,0.6031402273957769,0.9269969473643835,0.9913565513001338,0.008643448699866189,27412,239,1960,1671
0.96,0.9284892270315197,0.8842337375964718,0.44175158358578903,0.5891643709825528,0.9269969473643835,0.9924053379624607,0.00759466203753933,27441,210,2027,1604
0.97,0.9259957803209513,0.8921334922526818,0.4122831175984577,0.5639480128084385,0.9269969473643835,0.9934541246247875,0.00654587537521247,27470,181,2134,1497
0.98,0.9227031519723803,0.8992758393680053,0.3762049022307904,0.5304854368932039,0.9269969473643835,0.9944667462297928,0.005533253770207225,27498,153,2265,1366
0.99,0.9137842848922703,0.9067944250871081,0.2866978793720738,0.43565599497802887,0.9269969473643835,0.9961303388665871,0.0038696611334128965,27544,107,2590,1041
